MT-TF ENSG00000210049
MT-RNR1 ENSG00000211459
MT-TV ENSG00000210077
MT-RNR2 ENSG00000210082
MT-TL1 ENSG00000209082
MT-ND1 ENSG00000198888
MT-TI ENSG00000210100
MT-TQ ENSG00000210107
MT-TM ENSG00000210112
MT-ND2 ENSG00000198763
MT-TW ENSG00000210117
MT-TA ENSG00000210127
MT-TN ENSG00000210135
MT-TC ENSG00000210140
MT-TY ENSG00000210144
MT-CO1 ENSG00000198804
MT-TS1 ENSG00000210151
MT-TD ENSG00000210154
MT-CO2 ENSG00000198712
MT-TK ENSG00000210156
MT-ATP8 ENSG00000228253
MT-ATP6 ENSG00000198899
MT-CO3 ENSG00000198938
MT-TG ENSG00000210164
MT-ND3 ENSG00000198840
MT-TR ENSG00000210174
MT-ND4L ENSG00000212907
MT-ND4 ENSG00000198886
MT-TH ENSG00000210176
MT-TS2 ENSG00000210184
MT-TL2 ENSG00000210191
MT-ND5 ENSG00000198786
MT-ND6 ENSG00000198695
MT-TE ENSG00000210194
MT-CYB ENSG00000198727
MT-TT ENSG00000210195
MT-TP ENSG00000210196
LINC02833 ENSG00000280805
CDKN1C ENSG00000273707
KLF13 ENSG00000169926
MPV17L ENSG00000275543
LINC02287 ENSG00000281811
UBE2CP4 ENSG00000259179
MARF1 ENSG00000277140
CNOT3 ENSG00000277114
SMIM34B ENSG00000278961
KCNE1B ENSG00000276289
CCNB3P1 ENSG00000249616
DNAJA3 ENSG00000276726
LENG1 ENSG00000277808
TTYH1 ENSG00000276537
SNRPEP9 ENSG00000214124
CHGA ENSG00000276781
PDK3 ENSG00000067992
BMERB1 ENSG00000278823
PAXBP1 ENSG00000263141
FAM86GP ENSG00000166492
CDH9 ENSG00000113100
TMC4 ENSG00000277789
RPS3AP39 ENSG00000237226
LINC02213 ENSG00000249160
PRAME ENSG00000275013
RPS24P14 ENSG00000223688
OR2AG2 ENSG00000188124
SNRPCP5 ENSG00000255522
HIST1H4PS1 ENSG00000217862
OR2AG1 ENSG00000279486
TMEM106B ENSG00000106460
DNAJC27 ENSG00000115137
GOLGA6L22 ENSG00000277865
OTUD7A ENSG00000169918
C21orf62-AS1 ENSG00000263140
GABRA5 ENSG00000186297
IAH1 ENSG00000134330
CRYZP1 ENSG00000282789
FDPSP4 ENSG00000254793
ARMC10 ENSG00000282813
DNAJC27-AS1 ENSG00000224165
NECAP1P1 ENSG00000178503
PURPL ENSG00000250337
TRIM26 ENSG00000234127
GOLGA5P1 ENSG00000251215
FYB1 ENSG00000082074
C21orf62 ENSG00000262938
OR11A1 ENSG00000230780
OR10C1 ENSG00000224234
NAPEPLD ENSG00000275723
SLC23A2 ENSG00000089057
OR5V1 ENSG00000233046
OR12D1 ENSG00000249030
OR12D3 ENSG00000251394
PAIP1P1 ENSG00000233892
GABRB3 ENSG00000166206
OR12D2 ENSG00000235966
OR6A2 ENSG00000184933
ADAM17 ENSG00000151694
NME8 ENSG00000086288
ZNF214 ENSG00000149050
GATD3B ENSG00000280071
OR2D3 ENSG00000178358
SLC22A18 ENSG00000276130
ZNF215 ENSG00000149054
LINC02103 ENSG00000249785
GPR141BP ENSG00000283444
DUOXA1 ENSG00000140254
SFRP4 ENSG00000106483
OR10A5 ENSG00000166363
OR2D2 ENSG00000166368
LSP1P3 ENSG00000162685
OR10A4 ENSG00000170782
LINC02109 ENSG00000259786
OR10A2 ENSG00000170790
EPDR1 ENSG00000086289
SUMO2P13 ENSG00000218359
SLC22A18AS ENSG00000274454
HIST1H2BL ENSG00000185130
FAM8A1 ENSG00000137414
HIST1H2AI ENSG00000196747
HERC2P7 ENSG00000281909
HNRNPLP2 ENSG00000259917
HIST1H3H ENSG00000278828
GPR141 ENSG00000187037
SUCLG2P4 ENSG00000249226
AKAP17A ENSG00000197976
AK3P3 ENSG00000230042
HIST1H1B ENSG00000184357
KLHL7 ENSG00000122550
HIST1H2AL ENSG00000276903
VWDE ENSG00000146530
RGN ENSG00000130988
HIST1H4K ENSG00000273542
ITPK1-AS1 ENSG00000280802
HIST1H3I ENSG00000275379
ITPK1 ENSG00000274958
HIST1H2AK ENSG00000275221
HIST1H2BPS2 ENSG00000217646
HIST1H2BM ENSG00000273703
CPXM1 ENSG00000088882
PPP4R4 ENSG00000278326
HIST1H2AM ENSG00000278677
HIST1H4J ENSG00000197238
HIST1H3J ENSG00000197153
HIST1H4L ENSG00000275126
HIST1H2AJ ENSG00000276368
HIST1H2BN ENSG00000233822
SHF ENSG00000138606
ITPRID1 ENSG00000180347
IGLV2-34 ENSG00000281055
HERC2P2 ENSG00000276550
CDK7 ENSG00000277273
CGREF1 ENSG00000138028
IGLV2-33 ENSG00000281345
DLGAP4-AS1 ENSG00000232907
OR7E117P ENSG00000238161
FSCN1P1 ENSG00000261559
DUOXA2 ENSG00000140274
NMRAL1 ENSG00000274684
OR2H1 ENSG00000235132
MYL9 ENSG00000101335
TRPC2 ENSG00000182048
IGLV3-32 ENSG00000280866
IGLV3-31 ENSG00000281493
IGLV3-30 ENSG00000281031
KHK ENSG00000138030
MRPS16P3 ENSG00000280782
DUOX2 ENSG00000140279
RPAP1 ENSG00000103932
DLGAP4 ENSG00000080845
IGHV1OR15-9 ENSG00000188403
SERPINA10 ENSG00000278767
SLC20A1P3 ENSG00000258706
MBOAT7 ENSG00000276935
IFT88 ENSG00000032742
SIGIRR ENSG00000185187
DUOX1 ENSG00000137857
HMOX2 ENSG00000277424
UBDP1 ENSG00000227228
MAS1LP1 ENSG00000224444
IGHV1OR15-2 ENSG00000259337
MAS1L ENSG00000233141
FKBP6 ENSG00000077800
RPS17P1 ENSG00000232302
LINC02829 ENSG00000232652
IGHV3OR15-7 ENSG00000259490
LINC01015 ENSG00000230674
IGHD5OR15-5A ENSG00000270961
HIST1H2BO ENSG00000274641
IGHD4OR15-4A ENSG00000271317
GPR53P ENSG00000237698
LINC02634 ENSG00000233200
OR2B2 ENSG00000168131
SLC25A51P1 ENSG00000281567
IGHD3OR15-3A ENSG00000282520
ADH5P4 ENSG00000277364
PPP1R17 ENSG00000106341
IGHD2OR15-2A ENSG00000282599
ANKRD33B-AS1 ENSG00000250106
AKAP11 ENSG00000023516
IGHD1OR15-1A ENSG00000271336
ANKRD33B ENSG00000164236
FAM30B ENSG00000277988
MOAP1 ENSG00000278268
OR2I1P ENSG00000229467
ELOCP2 ENSG00000259838
CCNY ENSG00000108100
TRIM44 ENSG00000166326
OR2W6P ENSG00000168126
APOL5 ENSG00000277390
OR2B6 ENSG00000124657
RPL12P6 ENSG00000243824
OSGEP ENSG00000092094
TRIM39-RPP21 ENSG00000248167
RPSAP68 ENSG00000279990
SHROOM4 ENSG00000158352
HCG17 ENSG00000270604
SLC35E1P1 ENSG00000238286
LINC01666 ENSG00000279579
BCAR1P1 ENSG00000258397
TRIM39 ENSG00000204599
GOLGA8IP ENSG00000277561
ASMT ENSG00000196433
IFNGR2 ENSG00000262795
YWHABP2 ENSG00000256464
RPL21P93 ENSG00000229605
LDHAL6A ENSG00000166800
LINC00837 ENSG00000235824
LINC01517 ENSG00000232624
KIAA1217 ENSG00000120549
OR56A7P ENSG00000255481
OR2H2 ENSG00000229185
OR52L2P ENSG00000262980
OR52X1P ENSG00000234895
UBD ENSG00000228913
UBE2L6 ENSG00000156587
TMEM239 ENSG00000198326
SKOR1 ENSG00000188779
TMEM183AP1 ENSG00000225248
OR2H5P ENSG00000226796
RPL13AP ENSG00000230181
C20orf141 ENSG00000258713
HNRNPDLP3 ENSG00000236185
L2HGDH ENSG00000087299
GABBR1 ENSG00000232632
HIP1 ENSG00000127946
TSG101 ENSG00000074319
SNX18P10 ENSG00000279213
ANKRD63 ENSG00000230778
LINC01684 ENSG00000237484
PLCB2 ENSG00000137841
SERPINA6 ENSG00000277405
TMEM50B ENSG00000263160
RAD23BP2 ENSG00000230244
TRIM26BP ENSG00000236475
GJD4 ENSG00000177291
MTCO1P1 ENSG00000280243
RPP21 ENSG00000241370
WHAMMP3 ENSG00000276141
HNRNPDLP1 ENSG00000226307
LINC01689 ENSG00000224832
FZD8 ENSG00000177283
RPL7P37 ENSG00000226646
RPS7P13 ENSG00000235425
PCAT5 ENSG00000280719
LINC02630 ENSG00000227313
SERPINA2 ENSG00000274821
CHCHD2P8 ENSG00000235115
PAN3-AS1 ENSG00000261485
FZD9 ENSG00000188763
KIR3DL2 ENSG00000275566
PPP1R18 ENSG00000234000
TNNT3 ENSG00000130595
HLA-L ENSG00000243753
EEF1A1P20 ENSG00000249963
TENT2 ENSG00000164329
HCG18 ENSG00000231074
SDHAP2 ENSG00000280521
ADAP1 ENSG00000105963
MUC20 ENSG00000277753
LY6G5C ENSG00000231325
UBR7 ENSG00000278787
MTCYBP22 ENSG00000270232
HLA-B ENSG00000224608
MUC20-OT1 ENSG00000281603
HLA-DQB2 ENSG00000224305
PIGT ENSG00000124155
MTND6P22 ENSG00000270230
DNMT3L ENSG00000142182
SERPINB6 ENSG00000124570
FABP3P2 ENSG00000233259
LINC02341 ENSG00000283554
MTND5P10 ENSG00000271687
KRT18P14 ENSG00000186082
MTND4P35 ENSG00000270906
ZSWIM3 ENSG00000132801
MTND4LP5 ENSG00000270350
MTND3P19 ENSG00000271480
MTCO3P22 ENSG00000270388
MTATP6P2 ENSG00000270307
RAC1P9 ENSG00000271306
GON7 ENSG00000275619
LINC01446 ENSG00000205628
TNFSF11 ENSG00000120659
RPS29P28 ENSG00000232069
TMEM251 ENSG00000275947
LINC02536 ENSG00000281270
BRDTP1 ENSG00000271209
H3F3AP5 ENSG00000226881
BMS1P15 ENSG00000258780
BMP15 ENSG00000130385
HMGB1P15 ENSG00000238190
ELOBP3 ENSG00000232285
MTCO2P22 ENSG00000270225
MRPS17P5 ENSG00000281841
C20orf173 ENSG00000125975
THEMIS ENSG00000275122
CTBP2P5 ENSG00000214602
FSHR ENSG00000170820
MTCO1P22 ENSG00000271207
SREK1 ENSG00000153914
FAM20C ENSG00000177706
ZSWIM1 ENSG00000168612
DDAH2 ENSG00000213722
TSEN34 ENSG00000278622
LINC01950 ENSG00000251027
EEF1A1P3 ENSG00000232587
HLA-T ENSG00000226727
PAN3 ENSG00000152520
VARS ENSG00000096171
LINC01070 ENSG00000260102
CT47A12 ENSG00000226685
LINC01043 ENSG00000260343
RPS3AP25 ENSG00000232385
ATP5MC1P8 ENSG00000224948
LINC01044 ENSG00000223626
RPS21 ENSG00000171858
RPL9P25 ENSG00000240821
SRMS ENSG00000125508
MCM10 ENSG00000065328
RNF5 ENSG00000204308
TIPIN ENSG00000075131
CHEK2P2 ENSG00000259156
TUBB1P2 ENSG00000228578
RMND5A ENSG00000153561
DEFB125 ENSG00000178591
OTUB1 ENSG00000167770
KCNIP3 ENSG00000115041
MUC4 ENSG00000278303
CT47A11 ENSG00000226929
LYZL1 ENSG00000120563
ATP5PBP2 ENSG00000214342
ELF4 ENSG00000102034
RNF103 ENSG00000239305
DEFB126 ENSG00000125788
CT47A10 ENSG00000224089
MED6P1 ENSG00000227905
SLC6A8 ENSG00000130821
GRPEL2P3 ENSG00000230682
PLEKHG4B ENSG00000153404
TLX2 ENSG00000115297
EN1 ENSG00000163064
COX19 ENSG00000240230
NOL4L-DT ENSG00000204393
NOL4L ENSG00000197183
RPLP2P1 ENSG00000214374
BAZ1B ENSG00000009954
OR2W4P ENSG00000216629
CCND3 ENSG00000112576
IQCB2P ENSG00000217539
IGHVII-65-1 ENSG00000253169
LINC02513 ENSG00000248227
TRBV7-5 ENSG00000227550
LINC01015 ENSG00000229383
KRTAP1-3 ENSG00000262347
NLRP14 ENSG00000158077
IGHV3-66 ENSG00000211972
TRBV5-5 ENSG00000211725
MBD3L5 ENSG00000237247
IGHV1-67 ENSG00000253274
SLC20A1P1 ENSG00000223506
IGHVII-67-1 ENSG00000253820
