query	term	label	source	quality	action
Agranulocytosis	http://purl.obolibrary.org/obo/HP_0012234	agranulocytosis	EFO OBO	match	
All recognised syndromes and those with suggestive features	http://www.ebi.ac.uk/efo/EFO_0007484	sick building syndrome	OLS API EFO lookup	fuzzy	check if valid
Alport syndrome	http://www.orpha.net/ORDO/Orphanet_63	alport syndrome	OT Zooma Mappings	match	
Amyotrophic lateral sclerosis/motor neuron disease	http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	OLS API EFO lookup	fuzzy	check if valid
Amyotrophic lateral sclerosis or motor neuron disease	http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	OLS API EFO lookup	fuzzy	check if valid
Anophthalmia/microphthamia	http://purl.obolibrary.org/obo/HP_0000528	Anophthalmia	OLS API EFO lookup	fuzzy	check if valid
Anophthalmia or microphthalmia	http://www.orpha.net/ORDO/Orphanet_98555	Anophthalmia - microphthalmia	OLS API EFO lookup	fuzzy	check if valid
Anophthalmia or microphthamia	http://purl.obolibrary.org/obo/HP_0000528	Anophthalmia	OLS API EFO lookup	fuzzy	check if valid
A- or hypo-gammaglobulinaemia	http://www.orpha.net/ORDO/Orphanet_2435	Hypo- and hypermelanotic cutaneous macules - retarded growth - intellectual disability	OLS API EFO lookup	fuzzy	check if valid
Apparent aplastic anaemia or paroxysmal nocturnal haemoglobinuria	http://www.ebi.ac.uk/efo/EFO_1001381	Nocturnal Paroxysmal Dystonia	OLS API EFO lookup	fuzzy	check if valid
Apparent aplastic anaemia / paroxysmal nocturnal haemoglobinuria	http://www.ebi.ac.uk/efo/EFO_1001381	Nocturnal Paroxysmal Dystonia	OLS API EFO lookup	fuzzy	check if valid
Arrhythmogenic Right Ventricular Cardiomyopathy	http://www.orpha.net/ORDO/Orphanet_247	arrhythmogenic right ventricular cardiomyopathy	OT Zooma Mappings	match	
Arthrogryposis	http://www.ebi.ac.uk/efo/EFO_0003857	arthrogryposis	EFO OBO	match	
Arthrogrythsis					
atypical beckwith wiedemann syndrome	http://www.orpha.net/ORDO/Orphanet_116	Beckwith-Wiedemann syndrome	OLS API EFO lookup	fuzzy	check if valid
Atypical Beckwith-Wiedemann syndrome	http://www.orpha.net/ORDO/Orphanet_116	Beckwith-Wiedemann syndrome	OLS API EFO lookup	fuzzy	check if valid
atypical-beckwith-wiedemann-syndrome	http://www.orpha.net/ORDO/Orphanet_116	Beckwith-Wiedemann syndrome	OLS API EFO lookup	fuzzy	check if valid
Atypical haemolytic uraemic syndrome	http://purl.obolibrary.org/obo/MONDO_0001549	hemolytic-uremic syndrome	OLS API EFO lookup	fuzzy	check if valid
Auditory Neuropathy Spectrum Disorder	http://purl.obolibrary.org/obo/MONDO_0021944	auditory neuropathy	OLS API EFO lookup	match	
Autosomal dominant deafness	http://purl.obolibrary.org/obo/MONDO_0019587	autosomal dominant nonsyndromic deafness	OLS API EFO lookup	match	
Autosomal recessive congenital ichthyosis	http://www.orpha.net/ORDO/Orphanet_281097	autosomal recessive congenital ichthyosis 1	Zooma API lookup	match	
Balanced translocations with an unusual phenotype					
Bardet-Biedl Syndrome	http://www.orpha.net/ORDO/Orphanet_110	bardet-biedl syndrome	OT Zooma Mappings	match	
Bilateral microtia	http://purl.obolibrary.org/obo/HP_0008551	Microtia	OLS API HP exact lookup	match	check if in OT
Bladder exstrophy	http://www.orpha.net/ORDO/Orphanet_93930	Bladder exstrophy	OLS API EFO lookup	match	
Brain channelopathy	http://purl.obolibrary.org/obo/MONDO_0021016	channelopathy	OLS API EFO lookup	fuzzy	check if valid
Brugada syndrome	http://www.orpha.net/ORDO/Orphanet_130	brugada syndrome	Zooma API lookup	match	
CAKUT	http://www.orpha.net/ORDO/Orphanet_183539	Genetic renal or urinary tract malformation	OLS API EFO lookup	match	
Cardio-facio-cutaneous syndrome	http://www.orpha.net/ORDO/Orphanet_217026	cardio-facio-cutaneous syndrome	Zooma API lookup	match	
Cataracts	http://www.ebi.ac.uk/efo/EFO_0001059	cataract	EFO OBO	match	
Catecholaminergic Polymorphic Ventricular Tachycardia	http://www.orpha.net/ORDO/Orphanet_3286	catecholaminergic polymorphic ventricular tachycardia	OT Zooma Mappings	match	
Cerebellar hypoplasia	http://purl.obolibrary.org/obo/HP_0001321	Cerebellar hypoplasia	OLS API EFO lookup	match	
Cerebral folate deficiency	http://www.orpha.net/ORDO/Orphanet_217382	cerebral folate deficiency	OT Zooma Mappings	match	
charcot marie tooth disease	http://www.orpha.net/ORDO/Orphanet_166	charcot-marie-tooth disease	Zooma API lookup	match	
Charcot-Marie-Tooth disease	http://www.orpha.net/ORDO/Orphanet_166	charcot-marie-tooth disease	Zooma API lookup	match	
Choanal atresia	http://purl.obolibrary.org/obo/HP_0000453	Choanal atresia	OLS API HP exact lookup	match	check if in OT
Chondrodysplasia punctata	http://www.orpha.net/ORDO/Orphanet_93442	Chondrodysplasia punctata	OLS API EFO lookup	match	
Classical Beckwith-Wiedemann syndrome	http://www.orpha.net/ORDO/Orphanet_116	Beckwith-Wiedemann syndrome	OLS API EFO lookup	fuzzy	check if valid
Classical Ehlers-Danlos Syndrome	http://www.orpha.net/ORDO/Orphanet_287	Classical Ehlers-Danlos syndrome	OLS API ORDO exact lookup	match	check if in OT
Classical tuberous sclerosis	http://www.orpha.net/ORDO/Orphanet_805	Tuberous sclerosis	OLS API EFO lookup	fuzzy	check if valid
coarse facial features including coffin siris like disorders	http://www.orpha.net/ORDO/Orphanet_1465	Coffin-Siris syndrome	OLS API EFO lookup	fuzzy	check if valid
Coarse facial features including Coffin-Siris-like disorders	http://purl.obolibrary.org/obo/HP_0000280	Coarse facial features	OLS API EFO lookup	fuzzy	check if valid
Cockayne syndrome	http://www.orpha.net/ORDO/Orphanet_191	cockayne syndrome	OT Zooma Mappings	match	
Combined B and T cell defect	http://www.orpha.net/ORDO/Orphanet_169346	DNA repair defect other than combined T-cell and B-cell immunodeficiencies	OLS API EFO lookup	fuzzy	check if valid
Complex Parkinsonism (includes pallido-pyramidal syndromes)	http://www.orpha.net/ORDO/Orphanet_391411	Atypical juvenile parkinsonism	OLS API EFO lookup	fuzzy	check if valid
Cone Dysfunction Syndrome	http://purl.obolibrary.org/obo/HP_0030637	Congenital stationary cone dysfunction	OLS API HP exact lookup	match	check if in OT
Congenital adrenal hypoplasia	http://www.orpha.net/ORDO/Orphanet_95702	Cytomegalic congenital adrenal hypoplasia	OLS API EFO lookup	match	
Congenital anaemias					
congenital anomaly of the kidneys and urinary tract cakut	http://purl.obolibrary.org/obo/GO_0014848	urinary tract smooth muscle contraction	OLS API EFO lookup	fuzzy	check if valid
Congenital Anomaly of the Kidneys and Urinary Tract (CAKUT)	http://purl.obolibrary.org/obo/GO_0014848	urinary tract smooth muscle contraction	OLS API EFO lookup	fuzzy	check if valid
Congenital disorders of glycosylation	http://www.orpha.net/ORDO/Orphanet_137	Congenital disorder of glycosylation	OLS API EFO lookup	match	
Congenital hearing impairment	http://purl.obolibrary.org/obo/HP_0008527	Congenital sensorineural hearing impairment	OLS API EFO lookup	fuzzy	check if valid
Congenital hearing impairment (profound/severe)	http://purl.obolibrary.org/obo/HP_0011476	Profound sensorineural hearing impairment	OLS API EFO lookup	fuzzy	check if valid
Congenital hypothyroidism	http://www.orpha.net/ORDO/Orphanet_79118	congenital hypothyroidism	Zooma API lookup	match	
Congenital muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_97242	congenital muscular dystrophy	OT Zooma Mappings	match	
Congenital myaesthenia					
Congenital myopathy	http://www.orpha.net/ORDO/Orphanet_97245	congenital myopathy	OT Zooma Mappings	match	
Congenital neutropaenia					
Congential disorders of glycosylation	http://www.ebi.ac.uk/efo/EFO_0005546	congenital disorder of glycosylation type II	OLS API EFO lookup	fuzzy	check if valid
Corneal abnormalities	http://purl.obolibrary.org/obo/HP_0000481	Abnormal cornea morphology	OLS API HP exact lookup	match	check if in OT
Costello syndrome	http://www.orpha.net/ORDO/Orphanet_3071	costello syndrome	OT Zooma Mappings	match	
Craniosynostosis syndromes	http://www.orpha.net/ORDO/Orphanet_2462	craniosynostosis syndrome	Zooma API lookup	match	
Craniosynostosis syndromes phenotypes	http://www.orpha.net/ORDO/Orphanet_1531	Craniosynostosis	OLS API EFO lookup	fuzzy	check if valid
Cystic kidney disease	http://www.ebi.ac.uk/efo/EFO_0008615	Cystic kidney disease	Zooma API lookup	match	
Cytopenia and pancytopenia	http://www.orpha.net/ORDO/Orphanet_313800	Optic nerve edema-splenomegaly syndrome	OLS API EFO lookup	fuzzy	check if valid
Developmental macular and foveal dystrophy	http://www.orpha.net/ORDO/Orphanet_75327	North Carolina macular dystrophy	OLS API EFO lookup	fuzzy	check if valid
Diabetes with additional phenotypes suggestive of a monogenic aetiology	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Dilated Cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000407	dilated cardiomyopathy	EFO OBO	match	
Dilated Cardiomyopathy and conduction defects	http://www.ebi.ac.uk/efo/EFO_0000407	dilated cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Dilated Cardiomyopathy (DCM)	http://www.ebi.ac.uk/efo/EFO_0000407	dilated cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Disorders of sex development	http://www.orpha.net/ORDO/Orphanet_325690	Genetic disorder of sex development	OLS API EFO lookup	match	
Disseminated non-tuberculous mycobacterial infection	http://www.ebi.ac.uk/efo/EFO_1001498	disseminated atypical mycobacterial infection	OLS API EFO lookup	fuzzy	check if valid
Distal myopathies					
distal-myopathies					
Ductal plate malformation	http://www.ebi.ac.uk/efo/EFO_0006318	breast ductal adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Early onset and familial Parkinson's Disease	http://www.orpha.net/ORDO/Orphanet_1020	Early-onset autosomal dominant Alzheimer disease	OLS API EFO lookup	fuzzy	check if valid
early onset and familial parkinsons disease	http://www.orpha.net/ORDO/Orphanet_1020	Early-onset autosomal dominant Alzheimer disease	OLS API EFO lookup	fuzzy	check if valid
Early onset dementia	http://www.orpha.net/ORDO/Orphanet_98539	Early-onset ataxia with dementia	OLS API EFO lookup	fuzzy	check if valid
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	http://www.orpha.net/ORDO/Orphanet_98539	Early-onset ataxia with dementia	OLS API EFO lookup	fuzzy	check if valid
Early onset dystonia	http://purl.obolibrary.org/obo/MONDO_0100016	early-onset generalized dystonia	OLS API EFO lookup	fuzzy	check if valid
Early onset familial premature ovarian insufficiency	http://purl.obolibrary.org/obo/HP_0008209	Premature ovarian insufficiency	OLS API EFO lookup	fuzzy	check if valid
Early onset or familial intestinal pseudo obstruction	http://www.ebi.ac.uk/efo/EFO_1000988	intestinal pseudo-obstruction	OLS API EFO lookup	fuzzy	check if valid
Early onset pancytopenia and red cell disorders	http://purl.obolibrary.org/obo/HP_0001876	Pancytopenia	OLS API EFO lookup	fuzzy	check if valid
Ear malformations with hearing impairment	http://www.orpha.net/ORDO/Orphanet_139512	Neuropathy with hearing impairment	OLS API EFO lookup	fuzzy	check if valid
Ectodermal dysplasia without a known gene mutation	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia	OLS API EFO lookup	fuzzy	check if valid
Ehlers-Danlos Syndrome (unusual phenotypes e.g. absent pain sense)	http://www.orpha.net/ORDO/Orphanet_98249	Ehlers-Danlos syndrome	OLS API EFO lookup	fuzzy	check if valid
Epidermolysis bullosa	http://www.ebi.ac.uk/efo/EFO_1000690	epidermolysis bullosa	EFO OBO	match	
Epilepsy plus other features	http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	OLS API EFO lookup	fuzzy	check if valid
Epileptic encephalopathy	http://purl.obolibrary.org/obo/HP_0200134	epileptic encephalopathy	OT Zooma Mappings	match	
Erythropoietic protoporphyria, mild variant	http://www.orpha.net/ORDO/Orphanet_79278	erythropoietic protoporphyria	Zooma API lookup	match	
Exceptionally young adult onset cancer	http://www.orpha.net/ORDO/Orphanet_2828	Young adult-onset Parkinsonism	OLS API EFO lookup	fuzzy	check if valid
Extreme early-onset hypertension	http://www.ebi.ac.uk/efo/EFO_0004772	early onset hypertension	OLS API EFO lookup	fuzzy	check if valid
Fallots tetralogy	http://purl.obolibrary.org/obo/HP_0001636	tetralogy of fallot	OLS API EFO lookup	fuzzy	check if valid
Familial and multiple pulmonary arteriovenous malformations	http://www.orpha.net/ORDO/Orphanet_624	Familial multiple nevi flammei	OLS API EFO lookup	fuzzy	check if valid
Familial breast and or ovarian cancer	http://www.orpha.net/ORDO/Orphanet_145	Hereditary breast and ovarian cancer syndrome	OLS API EFO lookup	fuzzy	check if valid
Familial breast cancer	http://www.orpha.net/ORDO/Orphanet_227535	Hereditary breast cancer	OLS API EFO lookup	match	
Familial cerebral small vessel disease	http://www.ebi.ac.uk/efo/EFO_0008493	cerebral small vessel disease	OLS API EFO lookup	fuzzy	check if valid
Familial cicatricial alopecia	http://www.ebi.ac.uk/efo/EFO_1002028	cicatricial alopecia	OLS API EFO lookup	fuzzy	check if valid
Familial colon cancer	http://purl.obolibrary.org/obo/MONDO_0018630	hereditary nonpolyposis colon cancer	OLS API EFO lookup	fuzzy	check if valid
Familial congenital heart disease	http://www.ebi.ac.uk/efo/EFO_0005207	congenital heart disease	OLS API EFO lookup	fuzzy	check if valid
Familial diabetes	http://www.orpha.net/ORDO/Orphanet_93111	Renal cysts and diabetes syndrome	OLS API EFO lookup	fuzzy	check if valid
Familial disseminated superficial actinic porokeratosis	http://www.orpha.net/ORDO/Orphanet_79152	Disseminated superficial actinic porokeratosis	OLS API EFO lookup	fuzzy	check if valid
Familial exudative vitreoretinopathy	http://www.orpha.net/ORDO/Orphanet_891	familial exudative vitreoretinopathy	Zooma API lookup	match	
Familial Focal Epilepsies	http://www.ebi.ac.uk/efo/EFO_0000773	temporal lobe epilepsy	OLS API EFO lookup	fuzzy	check if valid
Familial Genetic Generalised Epilepsies	http://www.ebi.ac.uk/efo/EFO_0005917	generalised epilepsy	OLS API EFO lookup	fuzzy	check if valid
Familial haematuria	http://www.ebi.ac.uk/efo/EFO_0004911	familial hypercholesterolemia	OLS API EFO lookup	fuzzy	check if valid
Familial haemophagocytic lymphohistiocytic disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Familial hemifacial microsomia	http://www.orpha.net/ORDO/Orphanet_141136	Hemifacial microsomia	OLS API EFO lookup	fuzzy	check if valid
Familial hidradenitis suppurativa	http://purl.obolibrary.org/obo/MONDO_0024516	familial acne inversa	OLS API EFO lookup	match	
